text,label,doc_type,source,verified,region
"Garikai Land Trust Reg No GHH/2021/9207. Stand 628 Retreat, 300 sqm. USD 2000 payable to the council bank account, receipt no. HCC-3877. council resolution CH/RES/3035/2025 refers. registration verifiable at Registrar of Cooperative Societies. held under General Plan SG 2593/2018, Surveyor-General Harare.",genuine,cession,synthetic,1,Retreat
"Simukai Land Group Reg No MTH/2021/6223. Stand 134 Caledonia, 250 sqm. survey Diagram No. SG 9946/2020 applies. USD 8500 payable to the council bank account, receipt no. HCC-4690. planning consent ref. CH/PLAN/2025/5795 attached.",genuine,cession,synthetic,1,Caledonia
"Bulawayo City Council Housing Office. Stand 6075 Whitecliff, 200 sqm. council resolution CH/RES/8131/2025 refers. your conveyancer should conduct a deeds search before transfer. USD 1200 via bank transfer to the registered account, receipt 4269. held under General Plan SG 4943/2018, Surveyor-General Harare.",genuine,deed_of_transfer,synthetic,1,Whitecliff
"United We Stand Housing Co-operative Reg No ZHC/2019/5352. Stand 2249 Epworth, 300 sqm. issued under Deed of Grant No. 5936/2019. survey Diagram No. SG 5349/2020 applies. USD 900 via bank transfer to the registered account, receipt 8317.",genuine,cession,synthetic,1,Epworth
"Kubatana Housing Society. Stand 1629 Waterfalls, 350 sqm. keep this letter safe as your only proof of allocation. USD 1200 cash only, non-refundable, balance to the treasurer. council has verbally approved the layout; written confirmation to follow.",fraudulent,offer_letter,synthetic,1,Waterfalls
"Bantu Housing Co-operative. Stand 9882 Whitecliff, 200 sqm. deeds will come once the area is proclaimed. ref TAK/5997 (unverified). USD 900 cash only, non-refundable, balance to the treasurer.",fraudulent,offer_letter,synthetic,1,Whitecliff
"Tashinga Home Seekers Trust. Stand 9543 Mabvuku, 200 sqm. USD 8500 cash on the day, no receipt issued. regularisation is underway, occupation allowed in the meantime.",fraudulent,offer_letter,synthetic,1,Mabvuku
"City of Harare Housing and Community Services Department. Stand 1780 Mabvuku, 300 sqm. council resolution CH/RES/6381/2025 refers. survey Diagram No. SG 7962/2020 applies. USD 2000 payable to the council bank account, receipt no. HCC-8454. your conveyancer should conduct a deeds search before transfer.",genuine,deed_of_transfer,synthetic,1,Mabvuku
"Tashinga Home Seekers Trust. Stand 263 Whitecliff, 350 sqm. no need to involve a lawyer, the cooperative handles everything. the stand is pending council survey; you may occupy immediately. pay USD 900 via EcoCash to the chairperson's personal number. ref BAN/2775 (unverified).",fraudulent,offer_letter,synthetic,1,Whitecliff
"Simukai Land Group. Stand 9131 Glen View, 200 sqm. USD 8500 cash only, non-refundable, balance to the treasurer. the offer letter serves as proof of allocation while paperwork is finalised.",fraudulent,offer_letter,synthetic,1,Glen View
"Kubatana Housing Society. Stand 7984 Caledonia, 350 sqm. this cooperative allocates stands directly to members. USD 1200 cash, half now and half on occupation. regularisation is underway, occupation allowed in the meantime.",fraudulent,offer_letter,synthetic,1,Caledonia
"Tariro Housing Consortium Reg No ZHC/2024/6443. Stand 942 Southlea Park, 250 sqm. council resolution CH/RES/5299/2025 refers. held under General Plan SG 9348/2018, Surveyor-General Harare. USD 2400 payable to the council bank account, receipt no. HCC-9411.",genuine,cession,synthetic,1,Southlea Park
"Garikai Land Trust Reg No ZHC/2021/9364. Stand 4930 Waterfalls, 250 sqm. registration verifiable at Registrar of Cooperative Societies. Diagram/General Plan No. SG 3654/2024, Surveyor-General's office. cession approved by council per letter CH/COOP/2025/8978. USD 2600 payable to the council bank account, receipt no. HCC-1955.",genuine,cession,synthetic,1,Waterfalls
"Kubatana Housing Society. Stand 9412 Glen View, 350 sqm. regularisation is underway, occupation allowed in the meantime. USD 12000 cash only, non-refundable, balance to the treasurer.",fraudulent,offer_letter,synthetic,1,Glen View
"Tariro Housing Consortium Reg No MTH/2022/453. Stand 7111 Waterfalls, 250 sqm. deposit USD 8500 into the conveyancer's trust account, balance on transfer. survey Diagram No. SG 2265/2020 applies. council file reference CH/HOU/2026/9314.",genuine,cession,synthetic,1,Waterfalls
"Bulawayo City Council Housing Office. Stand 1017 Hopley, 200 sqm. USD 1800 to the municipal account, official numbered receipt issued. council resolution CH/RES/2738/2025 refers. survey Diagram No. SG 3940/2020 applies.",genuine,deed_of_transfer,synthetic,1,Hopley
"Takaitora Nyika Co-operative. Stand 5139 Retreat, 200 sqm. pay USD 2000 via EcoCash to the chairperson's personal number. papers are in progress and will follow after regularisation.",fraudulent,offer_letter,synthetic,1,Retreat
"Simukai Land Group. Stand 537 Caledonia, 300 sqm. USD 8500 cash on the day, no receipt issued. deeds will come once the area is proclaimed. ref RUV/3392 (unverified).",fraudulent,offer_letter,synthetic,1,Caledonia
"Simukai Land Group Reg No ZHC/2020/8065. Stand 7173 Waterfalls, 300 sqm. survey Diagram No. SG 1226/2020 applies. registration verifiable at Registrar of Cooperative Societies. council resolution CH/RES/907/2025 refers. USD 8500 via bank transfer to the registered account, receipt 1050.",genuine,cession,synthetic,1,Waterfalls
"Garikai Land Trust. Stand 1733 Southlea Park, 200 sqm. this cooperative allocates stands directly to members. ref ZVI/9410 (unverified). deeds will come once the area is proclaimed. deposit USD 8500 to the cooperative holding account, balance negotiable.",fraudulent,offer_letter,synthetic,1,Southlea Park
"Ruvimbo Yetu Housing Co-operative Reg No ZHC/2020/4648. Stand 558 Glen View, 300 sqm. registration verifiable at Registrar of Cooperative Societies. survey Diagram No. SG 75/2020 applies. deposit USD 2400 into the conveyancer's trust account, balance on transfer. council resolution CH/RES/8030/2025 refers.",genuine,cession,synthetic,1,Glen View
"Zvikomborero Housing Co-operative. Stand 1913 Melfort, 200 sqm. regularisation is underway, occupation allowed in the meantime. USD 1200 cash on the day, no receipt issued.",fraudulent,offer_letter,synthetic,1,Melfort
"Tariro Housing Consortium. Stand 4131 Seke, 200 sqm. deposit USD 8500 to the cooperative holding account, balance negotiable. title deeds will be processed once the area is regularised by council.",fraudulent,offer_letter,synthetic,1,Seke
